PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance,batting id,bowling id,batting erd,bowling erd
Pradosh Paul,Indian,All-Rounder,0.0,2105053.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Prerit Dutta,Indian,All-Rounder,0.0,2107373.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Rahul Buddhi,Indian,All-Rounder,0.0,2108533.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Raj Chaudhary,Indian,All-Rounder,0.0,2103893.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Ravi Chauhan,Indian,All-Rounder,0.0,2113173.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Rohit Rayudu,Indian,All-Rounder,0.0,2112013.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Sahil Dhiwan,Indian,All-Rounder,0.0,2108533.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Sairaj Patil,Indian,All-Rounder,1.0,2796023.5,0.0,2000000.0,0.23946486,1076,-1,1.240700000000004,-0.0
Sanjay Pahal,Indian,All-Rounder,0.0,2113173.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Saransh Jain,Indian,All-Rounder,0.0,2113173.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Sarfaraz Khan,Indian,All-Rounder,0.0,2537590.0,0.0,2000000.0,0.23946486,403,394,0.9642000000000052,0.253799999999984
Saumy Pandey,Indian,All-Rounder,0.0,2100412.8,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Saurabh Kumar,Indian,All-Rounder,0.0,2113173.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Shubham Singh Pundir,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Shubhang Hegde,Indian,All-Rounder,0.0,2103893.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Suryansh Shedge,Indian,All-Rounder,0.0,2101572.5,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Tanay Thyagarajann,Indian,All-Rounder,0.0,2109954.2,2000000.0,0.0,0.23946486,-1,-1,0.0,-0.0
Tanush Kotian,Indian,All-Rounder,0.0,2107373.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Utkarsh Singh,Indian,All-Rounder,0.0,2107373.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Vaisakh Chandran,Indian,All-Rounder,0.0,2109693.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Vineet Dhankhar,Indian,All-Rounder,0.0,2100412.8,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Vivrant Sharma,Indian,All-Rounder,0.0,2540788.5,0.0,2000000.0,0.23946486,636,499,-0.151299999999992,-4.784700000000015
Writtick Chatterjee,Indian,All-Rounder,0.0,2114333.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Ben Dwarshuis,Overseas,Bowler,1.0,2391955.5,0.0,5000000.0,0.234218635,2426,1809,-0.2712999999999965,-14.84620000000001
Tim Southee,Overseas,Bowler,1.0,38743040.0,0.0,15000000.0,0.229635834,378,184,-0.6173000000000002,-1.352699999999999
Prenelan Subrayen,Overseas,All-Rounder,0.0,2124566.8,0.0,2000000.0,0.222985935,-1,-1,0.0,-0.0
Akeal Hosein,Overseas,Bowler,1.0,13476378.0,0.0,5000000.0,0.214801719,629,495,0.2351999999999918,0.1402999999999963
Jaydev Unadkat,Indian,Bowler,1.0,7641269.5,16000000.0,0.0,0.209541244,368,174,-0.1872999999999933,-5.369200000000006
Keshav Maharaj,Overseas,All-Rounder,1.0,9653881.0,0.0,5000000.0,0.207179462,2127,1523,-0.010799999999989,0.5908000000000015
Harshal Patel,Indian,All-Rounder,1.0,19530762.0,117500000.0,0.0,0.198697015,312,226,0.4772000000000105,-0.2582000000000164
Shardul Thakur,Indian,All-Rounder,1.0,22217538.0,40000000.0,0.0,0.198463819,407,306,-0.5018000000000029,-6.817700000000002
Jhye Richardson,Overseas,Bowler,1.0,9336875.0,50000000.0,0.0,0.197578022,542,422,0.5082000000000164,2.807799999999986
Anshul Kamboj,Indian,All-Rounder,0.0,2105053.2,2000000.0,0.0,0.189058207,-1,-1,0.0,-0.0
James Neesham,Overseas,All-Rounder,1.0,20580640.0,0.0,15000000.0,0.187323517,377,280,0.4362000000000137,-16.018699999999995
K.C Cariappa,Indian,Bowler,0.0,2532708.0,0.0,2000000.0,0.185699108,423,299,-0.1667999999999949,-14.661200000000008
Adam Milne,Overseas,Bowler,1.0,15488255.0,0.0,10000000.0,0.1853424,450,317,-0.3383000000000038,-1.3442000000000007
Adil Rashid,Overseas,Bowler,1.0,26448402.0,0.0,20000000.0,0.182810408,611,439,0.5882000000000005,-0.3061999999999898
Chris Woakes,Overseas,All-Rounder,1.0,11724359.0,42000000.0,0.0,0.182639703,442,336,0.5767000000000166,-7.827200000000005
Barinder Sran,Indian,Bowler,1.0,3093413.0,0.0,5000000.0,0.182634806,430,310,-0.954800000000006,-4.638200000000012
