PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance
Keshav Maharaj,Overseas,All-Rounder,1.0,9653881.0,0.0,5000000.0,31.238283499999998
Wiaan Mulder,Overseas,All-Rounder,0.0,2118766.8,0.0,5000000.0,23.0679205
Dasun Shanaka,Overseas,All-Rounder,0.0,2126887.0,0.0,5000000.0,23.0679205
Matthew Short,Overseas,All-Rounder,0.0,2771313.5,0.0,5000000.0,37.511791
Odean Smith,Overseas,All-Rounder,1.0,14362728.0,0.0,5000000.0,46.18181200000001
Hanuma Vihari,Indian,All-Rounder,0.0,2113173.0,0.0,5000000.0,23.0679205
Johnson Charles,Overseas,Wicket-Keeper,1.0,9470781.0,0.0,5000000.0,39.72338450000001
Varun Aaron,Indian,Bowler,0.0,2872684.0,0.0,5000000.0,27.831126
Fareed Ahmad,Overseas,Bowler,1.0,9945841.0,0.0,5000000.0,44.6071115
Dushmanta Chameera,Overseas,Bowler,0.0,2129765.0,0.0,5000000.0,23.0679205
Ben Dwarshuis,Overseas,Bowler,1.0,2391955.5,0.0,5000000.0,23.0679205
Richard Gleeson,Overseas,Bowler,1.0,4135650.0,0.0,5000000.0,10.8542795
Siddharth Kaul,Indian,Bowler,1.0,3418203.5,0.0,5000000.0,22.143065
Lahiru Kumara,Overseas,Bowler,0.0,2128343.8,0.0,5000000.0,23.0679205
Obed Mccoy,Overseas,Bowler,0.0,2128343.8,0.0,5000000.0,23.0679205
Blessing Muzarabani,Overseas,Bowler,1.0,11015430.0,0.0,5000000.0,16.8276435
Richard Ngarava,Overseas,Bowler,1.0,12172691.0,0.0,5000000.0,21.8200295
George Scrimshaw,Overseas,Bowler,0.0,2127184.2,0.0,5000000.0,23.0679205
Barinder Sran,Indian,Bowler,1.0,3093413.0,0.0,5000000.0,31.830307
Oshane Thomas,Overseas,Bowler,1.0,9003423.0,0.0,5000000.0,17.5244575
Sandeep Warrier,Indian,Bowler,1.0,2715605.8,0.0,5000000.0,48.223641
Lizaad Williams,Overseas,Bowler,1.0,4977752.0,0.0,5000000.0,12.639879500000001
Luke Wood,Overseas,Bowler,1.0,2661003.5,0.0,5000000.0,23.0679205
Benny Howell,Overseas,All-Rounder,0.0,2130367.0,0.0,4000000.0,23.0679205
Jalaj Saxena,Indian,All-Rounder,0.0,2065508.0,0.0,4000000.0,23.0679205
Corbin Bosch,Overseas,All-Rounder,0.0,2123406.5,0.0,3000000.0,23.0679205
Kamlesh Nagarkoti,Indian,All-Rounder,0.0,2625603.0,0.0,3000000.0,37.470490999999996
Basil Thampi,Indian,Bowler,0.0,3858707.0,0.0,3000000.0,52.315528
Lalit Yadav,Indian,Bowler,0.0,6116641.0,0.0,3000000.0,45.693883
S Midhun,Indian,Bowler,0.0,2039616.8,0.0,3000000.0,23.0679205
Izharulhuq Naveed,Overseas,Bowler,0.0,2129765.0,0.0,3000000.0,23.0679205
Priyansh Arya,Indian,Batter,0.0,2109811.2,0.0,2000000.0,23.0679205
Rohan Kunnummal,Indian,Batter,0.0,2113291.5,0.0,2000000.0,23.0679205
Manan Vohra,Indian,Batter,0.0,2751321.2,0.0,2000000.0,42.065896
Raj Angad Bawa,Indian,All-Rounder,0.0,2267550.8,0.0,2000000.0,17.034990999999998
Sarfaraz Khan,Indian,All-Rounder,0.0,2537590.0,0.0,2000000.0,39.781032999999994
Vivrant Sharma,Indian,All-Rounder,0.0,2540788.5,0.0,2000000.0,114.01254099999998
Atit Sheth,Indian,All-Rounder,0.0,2109693.2,0.0,2000000.0,23.0679205
Hrithik Shokeen,Indian,All-Rounder,0.0,6295063.0,0.0,2000000.0,61.975640999999996
Urvil Patel,Indian,Wicket-Keeper,0.0,2110446.0,0.0,2000000.0,23.0679205
Vishnu Solanki,Indian,Wicket-Keeper,1.0,3690989.5,0.0,2000000.0,41.9129265
Ishan Porel,Indian,Bowler,0.0,2087011.4,0.0,2000000.0,23.0679205
Kuldip Yadav,Indian,Bowler,0.0,2559719.0,0.0,2000000.0,23.0679205
Murgan Ashwin,Indian,Bowler,0.0,4949784.5,0.0,2000000.0,23.597085
Pulkit Narang,Indian,Bowler,0.0,2120430.5,0.0,2000000.0,23.0679205
