,PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance
250,Gurnoor Singh Brar,Indian,Bowler,0.0,2315611.0,0.0,2000000.0,0.136903569
251,Ishan Porel,Indian,Bowler,0.0,2087011.4,0.0,2000000.0,0.136903569
252,Jasmer Dhankhar,Indian,Bowler,0.0,2115790.0,0.0,2000000.0,0.136903569
253,Jhathavedh Subramanyan,Indian,Bowler,0.0,2118371.2,2000000.0,0.0,0.136903569
254,K.M Asif,Indian,Bowler,0.0,3390081.8,0.0,2000000.0,0.136903569
255,Kuldip Yadav,Indian,Bowler,0.0,2559719.0,0.0,2000000.0,0.136903569
256,Kulwant Khejroliya,Indian,Bowler,0.0,2637747.0,0.0,2000000.0,0.136903569
257,Lukman Hussain Meriwala,Indian,Bowler,0.0,2070688.6,0.0,2000000.0,0.136903569
258,Manish Reddy,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
259,Manit Singh,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
260,Mohammed Kaif,Indian,Bowler,0.0,2362440.0,0.0,2000000.0,0.136903569
261,Mohit Avasthi,Indian,Bowler,0.0,2122750.8,0.0,2000000.0,0.136903569
262,Money Grewal,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
263,Monish Reddy,Indian,Bowler,0.0,2111150.0,0.0,2000000.0,0.136903569
264,Mrinmoy Dutta,Indian,Bowler,0.0,2115790.2,0.0,2000000.0,0.136903569
265,Mujtaba Yousuf,Indian,Bowler,0.0,2111150.0,0.0,2000000.0,0.136903569
266,Mukhtar Hussain,Indian,Bowler,0.0,2114630.5,0.0,2000000.0,0.136903569
267,Murgan Ashwin,Indian,Bowler,0.0,4949784.5,0.0,2000000.0,0.136903569
268,Mustaq Beg,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
269,Nitin Verma,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
270,Pankaj Yadav,Indian,Bowler,0.0,2118110.2,0.0,2000000.0,0.136903569
271,Prince Choudhary,Indian,Bowler,0.0,2114630.5,2000000.0,0.0,0.136903569
272,Pulkit Narang,Indian,Bowler,0.0,2120430.5,0.0,2000000.0,0.136903569
273,Raghav Goyal,Indian,Bowler,0.0,2339667.2,0.0,2000000.0,0.136903569
274,Raj Limbani,Indian,Bowler,0.0,2107670.0,0.0,2000000.0,0.136903569
275,Rakshan Readdi,Indian,Bowler,0.0,2113470.2,0.0,2000000.0,0.136903569
276,Rasikh Dar,Indian,Bowler,0.0,2113470.2,2000000.0,0.0,0.136903569
277,Ravi Kumar,Indian,Bowler,0.0,3582952.8,0.0,2000000.0,0.136903569
278,Sachin Bhosale,Indian,Bowler,0.0,2115790.2,0.0,2000000.0,0.136903569
279,Saurabh Dubey,Indian,Bowler,0.0,2115790.2,0.0,2000000.0,0.136903569
280,Shiva Singh,Indian,Bowler,1.0,10515822.0,0.0,2000000.0,0.136903569
281,Shreyas Gurav,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
282,Shubham Agrawal,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
283,Shubham Kapse,Indian,Bowler,0.0,2120430.5,0.0,2000000.0,0.136903569
284,Venkatesh Muralidhara,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
285,Vishal Godara,Indian,Bowler,0.0,2109990.0,0.0,2000000.0,0.136903569
286,Vishu Kashyap,Indian,Bowler,0.0,2115790.2,0.0,2000000.0,0.136903569
287,Waseem Bashir,Indian,Bowler,0.0,2113470.2,0.0,2000000.0,0.136903569
